Company,Sector,Price,1D,YTD,M.Cap,Date
Company,Sector,Price,1D,YTD,M.Cap,Date
Egypt Intercontinental for Granite and Marble,Industrials,5.01,+0.20%,+0.20%,0,10/08
Egypt-South Africa For Communication,Telecom,0.99,-1.00%,+59.68%,0,10/08
Egyptian Arabian Company Themar for Securities Brokerage,Financials,4.67,-1.48%,+28.30%,0.46,28/04
Egyptian Chemical Industries (Kima),Basic Materials,12.35,+3.17%,-1.12%,24.53,28/04
Egyptian Company for International Touristic Projects,Consumer Services,13.76,-,-,5.5,28/04
Egyptian Financial & Industrial,Basic Materials,211.81,-1.05%,-5.20%,21.18,28/04
Egyptian For Developing Building Materials,Industrials,0.71,-,-,0.39,28/04
Egyptian For Tourism Resorts,Consumer Services,13.41,-1.18%,+64.54%,14.08,28/04
Egyptian Gulf Bank,Financials,0.38,-,+22.58%,10.1,28/04
Egyptian International Pharmaceuticals Industries,Health Care,84.50,-2.30%,+9.03%,14.26,28/04
Egyptian Iron & Steel,Basic Materials,35.02,-0.71%,+0.03%,34.21,28/04
Egyptian Kuwait Holding,Financials,0.67,-,-16.25%,26.52,30/11
Egyptian Media Production City,Consumer Services,31.51,-1.19%,+10.56%,5.97,28/04
Egyptian Modern Education Systems,Consumer Services,0.82,-,-3.53%,0.81,28/04
Egyptian Satellites (NileSat),Telecom,8.09,+1.13%,+18.45%,15.87,28/04
Egyptian Starch & Glucose,Consumer Goods,9.38,-,-,0.47,28/04
Egyptian Transport & Commercial Services,Industrials,7.65,-0.52%,-4.97%,1.72,28/04
Egyptians Abroad For Investment & Development,Financials,2.67,-,+2.69%,0.13,28/08
Egyptians for Housing Development,Financials,2.22,-0.89%,-11.55%,1.49,28/04
Egyptians For Investment & Urban Development,Financials,0.73,-2.67%,+8.96%,1.19,08/02
El Ahram Co. For Printing And Packing,Industrials,13.01,+1.96%,+11.96%,0.1,28/04
El Arabia For Land Reclamation,Financials,331.52,-0.96%,-10.60%,1.72,28/04
El Badr Plastic,Industrials,0.62,-,-10.14%,0,10/08
El Barbary Investment Group (BIG),Consumer Goods,0.14,-99.54%,-6.67%,0.04,06/01
El Dawlia Fertilizers And Chemicals,Basic Materials,15.89,+1.86%,+11.82%,1.85,28/04
El Ebour Real Estate Investment,Financials,38.01,-0.94%,-0.39%,1.52,28/04
El Ezz Aldekhela Steel - Alexandria,Basic Materials,"1,251.00",-,-,24.4,28/04
El Ezz Ceramics & Porcelain (Gemma),Industrials,28.23,-0.46%,-10.35%,1.5,28/04
El Kahera El Watania Investment,Financials,71.79,+10.45%,-2.10%,0.75,28/04
El Kahera Housing,Financials,1.11,-,-57.31%,2.06,28/04
El Nasr Clothes & Textiles - KABO,Consumer Goods,6.04,-0.98%,-5.63%,3.41,28/04
El Nasr For Manufacturing Agricultural Crops,Consumer Goods,37.02,-0.11%,-7.73%,0.29,28/04
El Nasr Transformers (El Maco),Industrials,16.00,-,-,0.63,28/04
El Saeed Contracting and Real Estate Investment,Industrials,1.36,-1.45%,-9.33%,0.98,28/04
El Sewedy Electric Company,Industrials,87.30,+1.50%,+11.57%,186.89,28/04
El Shams Housing & Urbanization,Financials,7.61,-1.04%,-9.08%,1.72,28/04
El Shams Pyramids For Hotels & Touristic Projects,Consumer Services,1.91,-,-,8.31,28/04
El Wadi Touristic Development,Consumer Services,1.82,-1.09%,+63.96%,0.33,28/04
El-Nile Co. For Pharmaceuticals And Chemical Industries,Health Care,124.20,-0.92%,+23.93%,6.21,28/04
Electro Cable Egypt Company,Industrials,2.24,+0.45%,-27.97%,7.42,28/04
Emaar Misr For Development,Financials,10.50,-1.41%,+8.25%,57.19,28/04
Engineering Industries (Icon),Basic Materials,33.14,+0.06%,-0.30%,4.82,28/04
Export Development Bank Of Egypt,Financials,17.00,-0.29%,+10.39%,23.12,28/04
Extracted Oils & Derivatives,Consumer Goods,9.51,+0.53%,+10.20%,1.9,28/04
Ezz Steel,Basic Materials,133.90,-,+16.54%,72.62,14/04
Faisal Islamic Bank Of Egypt (EGP),Financials,33.04,-0.39%,+3.02%,7.46,28/04
Faisal Islamic Bank Of Egypt (USD),Financials,0.97,+1.04%,-2.02%,21,28/04
Fawry for Banking Technology and Electronic Payment,Technology,19.99,-1.19%,+24.01%,68.09,28/04
Ferchem Misr Company for Fertilizers and Chemicals,Basic Materials,81.90,-1.30%,-0.75%,32.76,28/04
First Investment And Real Estate Development,Financials,2.26,-1.74%,+6.10%,0.03,06/01
Gadwa For Industrial Development,Financials,0.80,-1.23%,-20.00%,4.33,28/04
GB Auto,Consumer Goods,26.42,-2.33%,-2.15%,28.67,28/04
General Co for Land Reclamation Development and Reconstruction,Industrials,179.84,-0.64%,-1.93%,1.17,28/04
General Company for Paper Industry Rakta,Industrials,25.16,-,+10.30%,0.75,28/04
General Company for Silos and Storage,Industrials,272.54,-4.37%,+14.09%,4.76,28/04
Genial Tours,Consumer Services,3.42,-3.12%,+35.71%,0,10/08
Gharbia Islamic Housing Development,Financials,41.03,+0.66%,-6.37%,0.23,28/04
Giza General Contracting,Financials,0.42,-,-35.38%,0.91,28/04
Glaxo Smith Kline,Health Care,67.17,-1.19%,+5.53%,5.61,28/04
Global Telecom Holding,Telecom,4.90,-,-,23.13,28/04
"GMC Group For Industrial, Commercial And Financial Investments",Financials,1.76,-,-4.86%,0.07,28/04
Golden Coast Company,Consumer Services,2.79,-,-,0.47,28/04
Golden Pyramids Plaza,Consumer Services,1.40,-,-1.41%,38.01,28/04
Golden Textiles & Clothes Wool,Consumer Goods,45.63,+0.88%,-4.58%,0.65,28/04
Grand Investment Capital,Financials,53.90,-0.99%,+79.13%,0.42,28/04
Gulf Arab Investment,Financials,0.29,-,+11.54%,0,10/08
Gulf Canadian Real Estate Investment Co.,Financials,1.95,+0.52%,+8.33%,0.41,28/04
Heliopolis Housing,Financials,5.98,+1.36%,+66.11%,23.95,28/04
Housing & Development Bank,Financials,152.36,+2.88%,+69.93%,80.94,28/04
Ibnsina Pharma,Health Care,11.09,-0.72%,-5.38%,11.17,28/04
Indus & Engineer,#N/A,8.74,+0.34%,-3.85%,0,10/08
Integrated Diagnostics Holdings,Health Care,20.00,-,-,12,28/04
Integrated Engineering Group Sae,Industrials,0.20,-,+11.11%,0.05,06/01
